cow,bull,pair_score,score
M35,1278J,24.3952,595.1275
M12,4454M,23.3389,544.7031
M01,4454M,22.2613,495.5636
M50,1278J,21.9802,483.1311
M64,4454M,21.5858,465.9453
F81,4454M,20.8194,433.4471
M78,1278J,20.2536,410.2096
M38,1278J,19.9228,396.9172
M60,4454M,19.8481,393.9454
H61,4454M,19.8134,392.572
L09,4454M,19.7083,388.4164
J51,4454M,19.4702,379.0886
H11,4454M,19.3514,374.4777
F79,4454M,19.1447,366.5211
H70,4454M,18.8555,355.5291
L58,1278J,18.646,347.675
M65,1278J,18.5356,343.5684
K65,1278J,18.3228,335.7263
G11,4454M,18.2246,332.1363
G25,4454M,18.2014,331.2917
G60,N54,18.1132,328.0886
M02,4454M,18.0034,324.1222
J61,4454M,17.9936,323.7708
J04,4454M,17.679,312.5467
K72,4454M,17.4541,304.6467
G10,4454M,17.2332,296.9825
J41,4454M,17.1762,295.0218
L64,1278J,17.0435,290.4798
L78,1278J,17.0413,290.4062
L44,1278J,17.0306,290.0424
J65,1278J,16.9004,285.6249
K82,4454M,16.7366,280.1153
K59,4454M,16.619,276.1907
J33,4454M,16.5244,273.0556
J45,4454M,16.3624,267.7277
G22,4454M,16.3596,267.6364
L12,1278J,16.136,260.3697
K67,4454M,16.1067,259.4273
E30,4454M,16.0155,256.4965
H26,1278J,15.8001,249.6439
K32,1278J,15.7623,248.4498
K68,1278J,15.5801,242.7401
J10,1278J,15.4915,239.9851
C28,1278J,15.4261,237.9638
J76,1278J,15.0337,226.0108
M42,1278J,14.969,224.0704
F19,1278J,14.8382,220.173
D10,1278J,14.7753,218.3107
J11,1278J,14.5444,211.5388
H42,1278J,14.5408,211.4342
K14,1278J,14.504,210.3656
M37,N54,14.4759,209.5521
J40,N54,13.6121,185.2901
G29,1278J,13.4238,180.1977
G35,1278J,13.1102,171.8768
K40,N54,12.6704,160.5394
J80,N54,11.8505,140.4336
L06,N54,11.6243,135.1232
J27,N54,11.2348,126.2218
K11,N54,10.8451,117.6171
L32,N54,10.8296,117.2796
L94,N54,10.37,107.5374
M45,N54,9.281,86.1369
L60,N54,9.0045,81.0808
L88,N54,8.6761,75.2754
L31,N54,8.2369,67.8468
L73,N54,8.1731,66.7989
L20,N54,8.1649,66.6652
G34,Z124G,8.0519,64.8335
M83,N54,8.031,64.4968
J03,8269,7.2674,52.8144
H44,K20B,6.6277,43.9267
M56,K20B,6.1136,37.3766
D19,K20B,5.7628,33.2099
K05,1181J,5.5178,30.4458
G65,8269,5.2605,27.6732
J46,D172,5.1405,26.4249
C16,K20B,4.6036,21.193
K52,8269,4.4053,19.407
M17,8269,4.2359,17.9429
L29,K20B,4.2223,17.8281
L61,K20B,4.2032,17.667
K60,K20B,3.973,15.7848
J05,8269,3.827,14.6462
L28,D172,3.6432,13.2726
D23,Z124G,3.6407,13.2551
C17,K20B,3.6106,13.0362
C14,K20B,3.6017,12.972
K21,8269,3.5915,12.8985
L10,Z124G,3.5786,12.8064
F83,K20B,3.5428,12.5515
K51,K20B,3.2846,10.7887
L33,K20B,3.2521,10.5761
G07,Z124G,3.1381,9.8474
M57,D172,2.8852,8.3245
E29,K20B,2.8623,8.1926
C19,K20B,2.8101,7.8967
K30,K20B,2.786,7.7617
H31,K20B,2.677,7.1661
L56,K20B,2.5951,6.7344
M59,K20B,2.5171,6.3357
K34,K20B,2.4741,6.1213
D29,K20B,2.3862,5.6937
F08,1181J,2.2495,5.0604
H86,K20B,2.084,4.3432
H37,K20B,1.7336,3.0055
K25,K20B,1.6441,2.703
K43,8269,1.5497,2.4017
H50,Z124G,1.3372,1.7882
M13,D172,1.1833,1.4002
G09,1181J,1.0492,1.1008
K56,1181J,0.9683,0.9375
L22,D172,0.8305,0.6897
C66,D172,0.7699,0.5927
F21,Z124G,0.5885,0.3463
K38B,1181J,0.3429,0.1176
L63,1181J,-0.1408,-0.0198
L49,1181J,-0.3076,-0.0946
F06,Z124G,-0.4129,-0.1705
K69,1181J,-0.5813,-0.338
C47,Z124G,-0.9497,-0.9019
M86,8269,-0.9796,-0.9596
E59,1181J,-1.0515,-1.1057
H15,D172,-1.075,-1.1557
M62,D172,-1.2371,-1.5304
L66,D172,-1.3104,-1.7173
K04B,D172,-1.3289,-1.7661
H62,1181J,-1.4438,-2.0846
H59,K20B,-1.4538,-2.1135
K86,K20B,-1.6531,-2.7329
K75,D172,-1.9177,-3.6775
L70,D172,-2.1676,-4.6983
K87,D172,-7.5868,-57.5588
