cow,bull,pair_score,score,RAAA#,Name,PROS,CED,BW,WW,YW,ADG,DMI,Milk,ME,HPG,CEM,STAY,Marb,YG,CW,REA,FAT,HB,GM,higher_count,lower_count,Weight,combined_count
M35,1278J,22.9925,528.6542,PM880,HHOLL M35 - SLB AUTHORITY 1278J,160,19,-5.6,56,84,0.18,0.32,29,-7,12,10,19,0.67,-0.05,16,0.15,-0.01,95,65,8,5,942.0,13
M12,4454M,21.9985,483.9344,PM916,HHOLL M12 - LSF CJR PRESIDENT 4454M,161,18,-5.8,57,85,0.17,0.35,29,-5,11,9,20,0.82,-0.06,11,0.14,-0.01,94,66,8,5,1025.0,13
M01,4454M,21.3024,453.7939,PM930,HHOLL M01 - LSF CJR PRESIDENT 4454M,167,17,-5.4,61,90,0.18,0.43,31,-4,11,9,22,0.77,-0.04,15,0.18,-0.0,101,65,8,5,1040.0,13
M50,1278J,20.8874,436.2835,PM873,HHOLL M50 - SLB AUTHORITY 1278J,152,18,-4.8,60,92,0.2,0.57,28,-4,12,10,18,0.63,-0.13,20,0.38,-0.02,84,68,8,4,1095.0,12
M64,4454M,20.1831,407.3574,PM888,HHOLL M64 - LSF CJR PRESIDENT 4454M,161,18,-5.9,55,84,0.18,0.43,25,-2,11,9,20,0.88,-0.06,11,0.25,0.0,88,74,8,5,1005.0,13
F81,4454M,19.5636,382.7337,PM146,F81 - LSF CJR PRESIDENT 4454M,162,19,-6.0,51,78,0.17,0.28,32,-3,10,9,23,0.69,-0.01,10,0.09,0.0,105,58,7,5,1015.0,12
M78,1278J,19.3344,373.8183,PM901,HHOLL M78 - SLB AUTHORITY 1278J,155,17,-4.8,65,98,0.21,0.57,29,-4,12,9,17,0.75,-0.06,19,0.21,-0.02,85,71,8,4,848.0,12
M38,1278J,19.2138,369.169,PM852,HHOLL M38 - SLB AUTHORITY 1278J,161,16,-4.7,61,92,0.2,0.44,31,-5,12,9,19,0.68,-0.05,18,0.2,-0.01,93,68,8,4,1005.0,12
M60,4454M,19.0273,362.039,PM832,HHOLL M60 - LSF CJR PRESIDENT 4454M,190,16,-5.1,64,100,0.22,0.57,30,-2,13,8,23,0.93,0.03,17,0.12,0.01,113,78,8,2,1050.0,10
L09,4454M,18.2288,332.2883,PM629,HHOLL L09 - LSF CJR PRESIDENT 4454M,150,19,-6.2,56,83,0.17,0.41,27,-4,11,9,20,0.84,-0.04,7,0.09,-0.0,89,61,7,5,1130.0,12
J51,4454M,18.0821,326.9619,PM356,HHOLL J51 - LSF CJR PRESIDENT 4454M,175,18,-5.6,54,84,0.19,0.44,28,-3,12,9,24,0.73,-0.01,10,0.08,0.0,115,60,6,4,1190.0,10
H61,4454M,18.0085,324.3061,PM286,HHOLL H61 - LSF CJR PRESIDENT 4454M,162,21,-6.3,50,74,0.15,0.22,28,-4,11,10,24,0.67,-0.0,7,0.04,0.01,111,51,6,4,938.0,10
L58,1278J,17.8511,318.6618,PM712,HHOLL L58 - SLB AUTHORITY 1278J,139,16,-4.2,58,88,0.19,0.39,28,-5,11,9,17,0.61,-0.13,16,0.34,-0.02,75,65,8,5,990.0,13
F79,4454M,17.8365,318.1415,PM139,F79 - LSF CJR PRESIDENT 4454M,174,17,-4.8,57,90,0.2,0.41,26,-2,11,9,24,0.73,-0.0,11,0.08,0.0,112,63,7,5,1160.0,12
M65,1278J,17.8251,317.7349,PM817,HHOLL M65 - SLB AUTHORITY 1278J,156,16,-4.2,62,93,0.2,0.44,30,-5,12,9,19,0.66,-0.05,18,0.19,-0.01,90,65,8,4,1085.0,12
H70,4454M,17.6967,313.174,PM314,HHOLL H70 - LSF CJR PRESIDENT 4454M,163,18,-5.0,55,81,0.16,0.28,31,-3,10,9,24,0.66,-0.0,10,0.06,0.0,111,52,7,5,1010.0,12
