cow,bull,pair_score,score
M35,1278J,22.9925,528.6542
M12,4454M,21.9985,483.9344
M01,4454M,21.1852,448.8148
M50,1278J,20.946,438.7347
M64,4454M,20.4175,416.8733
F81,4454M,19.3878,375.8867
M78,1278J,19.3344,373.8183
M38,1278J,19.0966,364.6795
M60,4454M,18.9687,359.8127
L09,4454M,18.346,336.5745
J51,4454M,18.1407,329.0844
H61,4454M,18.0671,326.42
F79,4454M,18.0123,324.4432
L58,1278J,17.9097,320.7572
M65,1278J,17.7665,315.6494
H70,4454M,17.5795,309.04
M02,4454M,17.274,298.3912
K65,1278J,17.1442,293.9226
J61,4454M,17.0429,290.4612
G25,4454M,16.9966,288.8837
G11,4454M,16.8268,283.1396
G60,N54,16.5905,275.2458
J65,1278J,16.3946,268.7825
K72,4454M,16.3553,267.4965
L44,1278J,16.2622,264.4582
J04,4454M,16.1647,261.2989
L64,1278J,16.1433,260.6054
L78,1278J,16.0344,257.103
J41,4454M,15.8217,250.3248
J45,4454M,15.781,249.0388
K59,4454M,15.6512,244.9588
L12,1278J,15.5904,243.0609
K82,4454M,15.5819,242.7958
H11,1278J,15.5411,241.525
J33,4454M,15.4984,240.1996
G22,4454M,15.4171,237.6861
K67,4454M,15.3803,236.5539
K05,4454M,15.1957,230.9079
K32,1278J,15.0345,226.036
L29,4454M,15.0247,225.7415
E30,4454M,14.9644,223.9322
K68,1278J,14.7975,218.9669
H26,1278J,14.7895,218.7293
C28,1278J,14.4826,209.747
J76,1278J,14.4484,208.7564
M42,1278J,14.4477,208.7363
J10,1278J,14.3881,207.0183
J11,1278J,14.1529,200.3041
H42,1278J,13.7767,189.797
D10,1278J,13.6963,187.5877
M37,N54,13.6668,186.7817
K14,1278J,13.6072,185.1572
J40,N54,12.8665,165.5478
G29,1278J,12.6777,160.7239
G35,1278J,12.1857,148.4925
K40,N54,11.5357,133.0734
J80,N54,10.8757,118.2815
J27,N54,10.8259,117.1993
L06,N54,10.7276,115.0824
L32,N54,10.3036,106.1633
K11,N54,9.9125,98.2572
L94,N54,9.8114,96.2636
M45,N54,8.9049,79.2967
L60,N54,8.6221,74.3402
L88,N54,7.9255,62.8138
L31,N54,7.894,62.3156
L20,N54,7.8434,61.5182
G34,Z124G,7.7148,59.5185
M83,N54,7.6664,58.774
L73,N54,7.607,57.8658
F19,D172,6.869,47.1831
G10,Z124G,6.471,41.8735
J03,8269,6.3492,40.312
H44,Z124G,5.825,33.9301
M56,K20B,5.5647,30.9655
J46,D172,4.8892,23.9038
G65,8269,4.7856,22.9019
D19,K20B,4.7684,22.7378
K52,8269,4.1181,16.959
M17,8269,4.0362,16.2912
L28,D172,3.6816,13.5541
D23,Z124G,3.6766,13.5173
C16,K20B,3.5745,12.7772
J05,8269,3.5466,12.5782
L10,Z124G,3.544,12.5599
K21,Z124G,3.2235,10.3911
K60,K20B,3.0975,9.5945
L61,K20B,3.0627,9.3802
G07,Z124G,2.9191,8.5212
L33,K20B,2.8223,7.9653
F83,K20B,2.7939,7.8058
C17,K20B,2.7803,7.7301
M57,K20B,2.6559,7.054
C14,K20B,2.5966,6.7423
K51,K20B,2.507,6.2848
K30,K20B,2.283,5.2122
E29,K20B,2.2541,5.0811
M59,K20B,2.2195,4.9263
K34,K20B,2.061,4.2477
C19,K20B,1.9602,3.8424
F08,1181J,1.8267,3.3368
H50,Z124G,1.7547,3.0788
H31,K20B,1.7359,3.0135
M13,D172,1.6147,2.6072
D29,K20B,1.5421,2.3779
G09,8269,1.2549,1.5748
L22,D172,0.892,0.7957
L56,D172,0.6089,0.3707
C66,D172,0.4731,0.2239
K38B,K20B,-0.0275,-0.0008
F21,D172,-0.0281,-0.0008
K43,D172,-0.3651,-0.1333
H37,D172,-0.4095,-0.1677
E59,1181J,-0.5689,-0.3236
C47,K20B,-0.7566,-0.5725
K25,D172,-0.8085,-0.6536
M86,8269,-0.9752,-0.951
H86,D172,-1.0371,-1.0755
H15,D172,-1.0916,-1.1915
L66,D172,-1.1037,-1.2181
K04B,D172,-1.2515,-1.5662
K56,1181J,-1.3889,-1.9291
F06,D172,-1.4914,-2.2242
L49,K20B,-1.4971,-2.2414
H62,K20B,-1.5254,-2.3269
K75,D172,-1.7614,-3.1025
L70,K20B,-1.7745,-3.1487
H59,K20B,-1.8613,-3.4643
K86,K20B,-1.991,-3.9641
K69,D172,-2.2948,-5.2659
L63,D172,-3.2983,-10.8788
M62,D172,-3.6241,-13.1339
K87,8269,-8.7203,-76.0441
