RAAA#,Name,PROS,CED,BW,WW,YW,ADG,DMI,Milk,ME,HPG,CEM,STAY,Marb,YG,CW,REA,FAT,HB,GM,cow,bull,higher_count,lower_count,Weight,combined_count,PROS_pct,CED_pct,Milk_pct,WW_pct,YW_pct,ADG_pct,HPG_pct,CEM_pct,Marb_pct,STAY_pct,CW_pct,REA_pct,HB_pct,GM_pct,BW_pct,DMI_pct,ME_pct,YG_pct,FAT_pct,pair_score
PM69,HHOLL K67 - HHOLL K20B,127,15,-2.8,57,88,0.19,0.57,24,-5,11,8,19,0.5,-0.05,7,0.06,-0.01,85,42,K67,K20B,4,3,1130.0,7,0.2833531618703533,0.0,-0.976579578183287,-0.9900361667026243,-0.9815542245560028,-1.0082020643545468,-1.0264198942443152,-0.5865079429229716,-0.32874692809570066,0.6851919957024478,-1.2263388880201684,-1.0799676166441992,0.7951216149892236,-1.245113536982477,-0.16185095661131293,-0.6768730624115388,0.9843173170287085,0.8280504779394074,0.8661360002223819,2.139774903652693
PM838,HHOLL M57 - SLB AUTHORITY 1278J,153,12,-2.6,69,108,0.24,0.67,28,-2,11,7,18,0.61,-0.05,29,0.23,-0.03,81,72,M57,1278J,6,3,1035.0,9,1.3358077631030945,-1.245594455170377,-0.19531591563665737,-0.24750904167565607,-0.2544770211811859,-0.4480898063797988,-1.0264198942443152,-1.1730158858459432,0.5753071241674752,0.3425959978512239,0.0,-0.1136808017520209,0.5830891843254307,0.7208552056214341,-0.32370191322262554,-1.160353821276924,-0.0,0.8280504779394074,2.5984080006671455,9.112752387340345
PM486,HHOLL K25 - VF SILVER BOW D172,134,14,-2.8,60,97,0.23,0.72,21,-1,13,8,19,0.5,-0.01,10,0.08,0.0,88,46,K25,D172,4,2,1180.0,6,0.5667063237407066,-0.41519815172345903,-1.562527325093259,-0.8044043854458822,-0.6543694830373352,-0.5601122579747483,0.0,-0.5865079429229716,-0.32874692809570066,0.6851919957024478,-1.0591108578356,-0.9662868148921782,0.9541459379870683,-0.9829843713019558,-0.16185095661131293,-1.4020942007096162,-0.32810577234290283,0.2760168259798024,-0.0,-0.912250044127882
PM646,HHOLL L22 - FEDDES DEFENDER Y17-8269,96,16,-3.5,61,89,0.18,0.58,27,-5,12,7,14,0.59,-0.05,2,0.02,-0.01,58,38,L22,8269,2,4,938.0,6,-0.9714965549840686,0.41519815172345903,-0.39063183127331474,-0.7425271250269682,-0.945200364387262,-1.1202245159494966,-0.5132099471221576,-1.1730158858459432,0.410933660119625,-1.0277879935536718,-1.5050522716611157,-1.307329220148241,-0.6360972919913789,-1.5072427026629986,0.404627391528282,-0.7252211382980773,0.9843173170287085,0.8280504779394074,0.8661360002223819,-1.500511485843119
PM265,HHOLL H62 - LSF CJR PRESIDENT 4454M,165,14,-3.8,60,93,0.21,0.52,27,-1,11,7,23,0.74,-0.0,12,0.1,0.0,104,61,H62,4454M,5,3,1300.0,8,1.8215560405951285,-0.41519815172345903,-0.39063183127331474,-0.8044043854458822,-0.7997849237122986,-0.7841571611646476,-1.0264198942443152,-1.1730158858459432,1.6437346404785016,2.0555759871073436,-0.9476255043792209,-0.8526060131401572,1.8022756606422403,0.0,0.6474038264452511,-0.4351326829788465,-0.32810577234290283,0.1380084129899012,-0.0,8.642168402793875
PM9,C16 - FEDDES DEFENDER Y17-8269,118,16,-3.3,55,77,0.14,0.32,26,-6,11,8,21,0.41,-0.03,0,-0.06,-0.0,96,22,C16,8269,3,5,1370.0,8,-0.08095804624867238,0.41519815172345903,-0.5859477469099721,-1.1137906875404524,-1.381446686412152,-1.5683143223292946,-1.0264198942443152,-0.5865079429229716,-1.0684275163110266,1.3703839914048956,-1.6165376251174948,-1.762052427156325,1.3782107993146544,-2.555759365385085,0.24277643491696904,0.5318288347519234,1.3124230893716113,0.5520336519596049,0.0,2.0157099936342524
PM582,HHOLL K52 - LASO SPLASH Z124G,131,12,-2.6,51,85,0.22,0.62,22,1,12,6,16,0.75,-0.14,15,0.51,-0.0,52,80,K52,Z124G,4,2,1105.0,6,0.4452692543676981,-1.245594455170377,-1.3672114094566015,-1.3612997292161084,-1.0906158050622252,-0.6721347095696979,-0.5132099471221576,-1.7595238287689148,1.7259213725024267,-0.3425959978512239,-0.7803974741946527,1.4778504227762725,-0.9541459379870683,1.245113536982477,-0.32370191322262554,-0.9186134418442313,-0.9843173170287085,2.0701261948485183,0.0,0.9426807407441853
PM608,HHOLL K14 - LSF CJR PRESIDENT 4454M,152,18,-5.6,53,80,0.16,0.32,26,-4,11,9,21,0.8,-0.03,5,0.05,0.0,93,58,K14,4454M,6,5,,11,1.295328739978758,1.245594455170377,-0.5859477469099721,-1.2375452083782805,-1.2723851059059297,-1.3442694191393956,-1.0264198942443152,0.0,2.136855032622053,1.3703839914048956,-1.3378242414765473,-1.1368080175202095,1.2191864763168094,-0.19659687426039113,2.104062435947066,0.5318288347519234,0.6562115446858057,0.5520336519596049,-0.0,16.16284965352214
PM617,HHOLL L06 - LASO SPLASH Z124G,114,15,-3.3,57,90,0.2,0.69,22,-2,11,7,14,0.77,-0.15,11,0.41,-0.01,45,69,L06,Z124G,4,4,890.0,8,-0.24287413874601715,0.0,-1.3672114094566015,-0.9900361667026243,-0.9088465042185211,-0.8961796127595971,-1.0264198942443152,-1.1730158858459432,1.890294836550277,-1.0277879935536718,-1.0033681811074107,0.9094464140161675,-1.325202691648706,0.524258331361043,0.24277643491696904,-1.2570499730500007,-0.0,2.2081346078384194,0.8661360002223819,4.372495509032421
PM618,HHOLL L06 - FEDDES DEFENDER Y17-8269,103,18,-4.6,58,86,0.17,0.62,24,-5,12,8,15,0.66,-0.06,0,0.04,-0.01,61,42,L06,8269,2,4,890.0,6,-0.6881433931137152,1.245594455170377,-0.976579578183287,-0.9281589062837103,-1.0542619448934845,-1.232246967544446,-0.5132099471221576,-0.5865079429229716,0.986240784287101,-0.6851919957024478,-1.6165376251174948,-1.1936484183962202,-0.47707296899353413,-1.245113536982477,1.2948076528905021,-0.9186134418442313,0.9843173170287085,0.9660588909293083,0.8661360002223819,2.153274700394583
