RAAA#,Sex,AnimalID,Name,DOB,BrdCds,PROS,CED, BW, WW, YW, ADG, DMI, Milk, ME, HPG, CEM, STAY, Marb, YG, CW, REA, FAT, HB, GM
PM1,,L10 - N17,HHOLLL10 - HHOLL N17,,,142,13,-2.1,50,73,0.14,0.22,25,-9,10,7,22,0.46,-0.06,9,0.1,-0.01,101,41
PM2,,C16 - N17,C16 - HHOLL N17,,,138,14,-2.5,57,81,0.15,0.35,26,-7,10,7,22,0.44,-0.05,10,0.09,-0.01,102,36
PM3,,C19 - N17,C19 - HHOLL N17,,,130,14,-2.3,59,85,0.16,0.5,30,-5,10,7,21,0.44,-0.05,12,0.11,-0.01,94,36
PM4,,C66 - N17,C66 - HHOLL N17,,,122,15,-3,56,81,0.16,0.43,26,-6,10,7,20,0.44,-0.05,9,0.08,-0.01,87,35
PM5,,C14 - N17,C14 - HHOLL N17,,,133,14,-2.5,55,81,0.16,0.26,23,-7,10,7,21,0.44,-0.06,10,0.11,-0.01,92,41
PM6,,C28 - N17,C28 - HHOLL N17,,,137,15,-3,55,80,0.16,0.42,29,-5,10,8,21,0.44,-0.06,13,0.16,-0.01,96,42
PM7,,C47 - N17,C47 - HHOLL N17,,,138,12,-1.8,56,83,0.17,0.5,30,-3,10,7,22,0.45,-0.06,12,0.15,-0.01,98,41
PM8,,C17 - N17,C17 - HHOLL N17,,,138,14,-2.4,60,87,0.17,0.46,26,-6,10,8,21,0.46,-0.05,13,0.15,-0.01,96,42
PM9,,D29 - N17,D29 - HHOLL N17,,,131,15,-2.8,53,78,0.16,0.38,25,-6,11,7,20,0.48,-0.05,9,0.14,0,89,41
PM10,,D19 - N17,D19 - HHOLL N17,,,131,16,-3.2,53,78,0.16,0.4,27,-6,10,8,20,0.48,-0.05,10,0.16,0,89,43
PM11,,D10 - N17,D10 - HHOLL N17,,,142,16,-3.2,52,75,0.15,0.25,23,-7,11,8,22,0.47,-0.05,7,0.12,0,102,41
PM12,,D23 - N17,D23 - HHOLL N17,,,137,14,-2.8,53,77,0.15,0.39,28,-6,11,7,21,0.49,-0.05,10,0.16,0,94,43
PM13,,E29 - N17,E29 - HHOLL N17,,,144,13,-1.6,56,82,0.16,0.43,29,-6,10,8,22,0.45,-0.06,12,0.14,-0.01,104,40
PM14,,E30 - N17,E30 - HHOLL N17,,,141,13,-2.2,55,80,0.16,0.38,28,-7,10,8,22,0.44,-0.06,13,0.14,-0.01,100,41
PM15,,E59 - N17,E59 - HHOLL N17,,,139,11,-1,60,88,0.17,0.44,30,-7,10,6,21,0.44,-0.06,16,0.19,-0.01,96,43
PM16,,F06 - N17,F06 - HHOLL N17,,,139,12,-1.9,59,87,0.17,0.51,29,-4,10,7,22,0.45,-0.06,13,0.16,-0.01,99,40
PM17,,F08 - N17,F08 - HHOLL N17,,,153,11,-1.4,64,99,0.22,0.69,26,-5,12,7,21,0.55,-0.06,16,0.24,0,99,54
PM18,,F19 - N17,F19 - HHOLL N17,,,127,18,-3.9,49,71,0.14,0.25,27,-8,11,9,18,0.49,-0.05,10,0.16,0,81,45
PM19,,F21 - N17,F21 - HHOLL N17,,,135,13,-2.2,59,88,0.18,0.47,25,-6,11,7,20,0.5,-0.06,12,0.15,-0.01,90,45
PM20,,F79 - N17,F79 - HHOLL N17,,,149,14,-3,59,91,0.2,0.57,24,-4,11,8,21,0.54,-0.05,13,0.19,0,96,54
PM21,,F81 - N17,F81 - HHOLL N17,,,137,17,-4.2,53,79,0.17,0.44,31,-5,10,8,20,0.5,-0.05,13,0.19,0,89,49
