RAAA#,Sex,AnimalID,Name,DOB,BrdCds,PROS,CED, BW, WW, YW, ADG, DMI, Milk, ME, HPG, CEM, STAY, Marb, YG, CW, REA, FAT, HB, GM
PM1,,N01 - N17,HHOLL N01 - HHOLL N17,,,153,15,-3.8,64,94,0.19,0.82,29,-5,12,8,19,0.71,-0.09,20,0.37,-0.01,90,63
PM2,,N02 - N17,HHOLL N02 - HHOLL N17,,,153,15,-3.8,63,94,0.19,0.79,29,-5,12,8,19,0.72,-0.09,18,0.37,0,90,64
PM3,,N04 - N17,HHOLL N04 - HHOLL N17,,,148,12,-2.2,65,100,0.22,0.7,27,-3,11,7,19,0.6,-0.02,24,0.18,-0.01,84,64
PM4,,N07 - N17,HHOLL N07 - HHOLL N17,,,142,15,-3,61,92,0.2,0.65,29,-3,11,7,19,0.64,-0.02,16,0.16,0,83,58
PM5,,N08 - N17,HHOLL N08 - HHOLL N17,,,143,15,-3.2,63,95,0.2,0.63,30,-3,11,7,19,0.64,-0.02,18,0.17,0,83,59
PM6,,N10 - N17,HHOLL N10 - HHOLL N17,,,149,16,-4.6,56,85,0.18,0.8,26,-5,12,9,19,0.74,-0.09,14,0.3,0,86,63
PM7,,N101 - N17,HHOLL N101 - HHOLL N17,,,155,14,-3.5,63,95,0.2,0.64,30,-4,13,7,19,0.75,-0.02,17,0.19,0,89,66
PM8,,N103 - N17,HHOLL N103 - HHOLL N17,,,128,17,-4.3,58,87,0.18,0.69,26,-5,12,8,17,0.64,-0.07,9,0.18,-0.01,78,50
PM9,,N11 - N17,HHOLL N11 - HHOLL N17,,,146,16,-3.7,65,100,0.22,0.75,28,-2,11,8,18,0.62,-0.02,26,0.21,-0.01,79,67
PM10,,N16 - N17,HHOLL N16 - HHOLL N17,,,166,12,-2.5,66,103,0.23,0.72,28,-4,13,7,20,0.74,-0.01,19,0.22,0.01,97,69
PM11,,N18 - N17,HHOLL N18 - HHOLL N17,,,160,18,-5.1,55,84,0.18,0.51,27,-5,13,9,20,0.72,-0.01,14,0.16,0.01,97,63
PM12,,N201 - N17,HHOLL N201 - HHOLL N17,,,147,14,-2.9,61,94,0.21,0.74,24,-3,13,8,20,0.56,-0.05,14,0.23,0,95,53
PM13,,N202 - N17,HHOLL N202 - HHOLL N17,,,141,13,-2.8,62,93,0.19,0.6,28,-6,11,7,17,0.67,-0.12,15,0.31,-0.02,79,62
