RAAA#,Sex,AnimalID,Name,DOB,BrdCds,PROS,CED,BW,WW,YW,ADG,DMI,Milk,ME,HPG,CEM,STAY,Marb,YG,CW,REA,FAT,HB,GM
PM1,,L10 - N54,HHOLLL10 - HHOLL N54,,,152,16,-3.1,46,70,0.14,0.08,26,-7,12,8,23,0.47,0.02,8,-0.04,0,107,44
PM2,,C16 - N54,C16 - HHOLL N54,,,148,16,-3.5,53,78,0.16,0.21,27,-5,12,8,23,0.46,0.02,9,-0.04,0,109,39
PM3,,C19 - N54,C19 - HHOLL N54,,,140,16,-3.4,55,82,0.17,0.36,31,-4,11,8,22,0.46,0.03,12,-0.02,0,101,39
PM4,,C66 - N54,C66 - HHOLL N54,,,132,17,-4.1,52,78,0.16,0.28,27,-5,11,8,21,0.46,0.02,9,-0.06,0,93,39
PM5,,C14 - N54,C14 - HHOLL N54,,,143,16,-3.5,51,77,0.17,0.12,24,-6,11,8,22,0.46,0.02,10,-0.03,0,99,44
PM6,,C28 - N54,C28 - HHOLL N54,,,147,17,-4.1,51,77,0.16,0.27,30,-4,11,9,22,0.46,0.01,13,0.02,0,102,45
PM7,,C47 - N54,C47 - HHOLL N54,,,148,15,-2.8,52,80,0.17,0.36,31,-2,12,8,23,0.47,0.02,12,0.01,0,104,44
PM8,,C17 - N54,C17 - HHOLL N54,,,148,16,-3.4,56,84,0.18,0.32,27,-5,11,8,22,0.48,0.02,13,0.01,0,103,45
PM9,,D29 - N54,D29 - HHOLL N54,,,141,17,-3.8,49,75,0.16,0.24,26,-4,12,8,21,0.5,0.02,8,0.01,0.01,96,45
PM10,,D19 - N54,D19 - HHOLL N54,,,141,18,-4.2,49,75,0.16,0.25,28,-5,12,9,21,0.5,0.02,9,0.02,0.01,95,46
PM11,,D10 - N54,D10 - HHOLL N54,,,153,18,-4.2,48,72,0.15,0.1,24,-6,12,9,23,0.49,0.02,7,-0.02,0.01,109,44
PM12,,D23 - N54,D23 - HHOLL N54,,,147,17,-3.8,49,74,0.16,0.24,29,-5,12,8,22,0.5,0.03,10,0.03,0.01,100,47
PM13,,E29 - N54,E29 - HHOLL N54,,,154,15,-2.7,52,79,0.16,0.29,30,-5,12,9,23,0.47,0.02,12,0.01,0,111,43
PM14,,E30 - N54,E30 - HHOLL N54,,,151,16,-3.2,51,77,0.16,0.23,30,-5,11,8,23,0.46,0.02,13,0,0,107,45
PM15,,E59 - N54,E59 - HHOLL N54,,,149,13,-2.1,56,85,0.18,0.29,31,-5,11,7,22,0.46,0.02,16,0.05,0,102,47
PM16,,F06 - N54,F06 - HHOLL N54,,,149,15,-2.9,55,83,0.18,0.36,31,-3,11,8,23,0.47,0.02,13,0.02,0,106,44
PM17,,F08 - N54,F08 - HHOLL N54,,,163,14,-2.5,60,96,0.22,0.55,27,-3,13,7,22,0.56,0.02,16,0.1,0.01,106,57
PM18,,F19 - N54,F19 - HHOLL N54,,,137,20,-4.9,45,68,0.14,0.11,28,-7,12,9,19,0.5,0.03,10,0.03,0.01,88,49
PM19,,F21 - N54,F21 - HHOLL N54,,,145,15,-3.2,55,85,0.19,0.33,26,-5,12,7,21,0.51,0.02,12,0.01,0,97,49
PM20,,F79 - N54,F79 - HHOLL N54,,,159,17,-4,55,88,0.21,0.43,25,-3,12,9,22,0.56,0.02,13,0.05,0.01,102,57
PM21,,F81 - N54,F81 - HHOLL N54,,,147,19,-5.2,49,76,0.17,0.3,32,-4,11,9,21,0.52,0.02,12,0.05,0.01,95,52
PM22,,F83 - N54,F83 - HHOLL N54,,,140,17,-3.8,56,84,0.18,0.38,32,-2,11,9,21,0.47,0.02,16,0.05,0,94,46
