cow,bull,pair_score,score
N01,57,20.0217,400.8666
N02,57,19.6079,384.4708
N10,N5243,16.7896,281.8921
N53,57,16.5227,272.998
N101,57,15.8257,250.4522
N11,57,15.2077,231.2737
N73,57,14.5134,210.6389
N96,57,14.1519,200.275
N77,57,12.8243,164.4626
N16,57,12.2689,150.526
N84,57,11.0836,122.8464
N92,57,10.6051,112.4674
N08,57,10.2421,104.9003
N23,57,10.1808,103.6478
N60,N5243,10.1704,103.4361
N12,N17,9.6395,92.92
N90,57,9.6034,92.2262
N99,57,9.5134,90.5046
N07,57,9.3871,88.1176
N45,N17,9.2057,84.7455
N44,57,8.131,66.1129
N25,N5243,7.2932,53.1901
N103,N5243,6.8056,46.3162
N46B,N17,5.4643,29.859
N80,N17,5.0884,25.8915
N93,N5243,4.8482,23.5055
N04,N5243,4.7479,22.5426
N62,N17,3.0938,9.5715
N61,N17,2.5288,6.3946
N37,N17,1.922,3.6942
N40,N17,0.5674,0.322
N34,N17,0.329,0.1083
N94,N17,-1.5285,-2.3362
N57,N5243,-2.089,-4.364
