cow,bull,pair_score,score
N101,57,17.1432,293.8901
N53,57,17.0239,289.813
N42,57,15.6278,244.2285
N16,N5243,15.3077,234.3243
N11,N5243,14.9324,222.9764
N96,57,14.1598,200.5001
N202,57,12.8409,164.8895
N73,N5243,12.6965,161.2021
N84,57,12.0881,146.1212
N89,57,11.884,141.2289
N12,57,11.3163,128.0578
N77,57,10.7624,115.8298
N08,57,10.3626,107.3843
N90,57,10.1599,103.2236
N45,57,9.825,96.531
N92,57,9.7925,95.8922
N60,N5243,9.6796,93.6947
N23,57,9.299,86.4709
N07,57,8.8828,78.9047
N46B,57,8.8513,78.3448
N201,57,8.2845,68.6322
N102,57,8.229,67.7159
N44,57,8.0299,64.4793
N99,57,7.9576,63.3232
N04,N5243,6.0897,37.0841
N103,N5243,5.948,35.3791
N80,N5243,5.1559,26.5831
N25,N5243,4.7935,22.9781
N93,N5243,3.4055,11.5977
N91,N5243,2.8408,8.0703
N79,N5243,2.5444,6.4742
N43,N5243,2.1022,4.4194
N37,N5243,2.06,4.2434
N34,57,1.9015,3.6156
N61,N5243,0.3084,0.0951
N62,N5243,0.0676,0.0046
N57,N5243,-0.5125,-0.2627
N94,N5243,-3.5444,-12.5626
N40,N5243,-5.0638,-25.6425
