RAAA#,Name,PROS,CED,BW,WW,YW,ADG,DMI,Milk,ME,HPG,CEM,STAY,Marb,YG,CW,REA,FAT,HB,GM,cow,bull,higher_count,lower_count,combined_count,PROS_pct,CED_pct,Milk_pct,WW_pct,YW_pct,ADG_pct,HPG_pct,CEM_pct,Marb_pct,STAY_pct,CW_pct,REA_pct,HB_pct,GM_pct,BW_pct,DMI_pct,ME_pct,YG_pct,FAT_pct,pair_score
PM1,HHOLL N01 - BHR CENTERFIRE 57,146,17,-4.1,67,102,0.22,0.92,31,-8,12,9,17,0.66,-0.1,20,0.48,0.01,84,62,N01, 57,9,3,12,1.1980167617186381,0.9586025865388217,0.9307212462475327,-0.5921848008141943,-0.7614452463174777,-0.9873099780881853,-0.5619514869490164,0.0,1.3748990836957786,0.0,-0.7269550226551441,2.406780545166632,1.0899309029043756,0.15468294057248852,1.2185405998386942,-1.6374051540365882,1.9446512240271252,1.9089087678018992,-1.0529461772445508,20.021653109242077
PM2,HHOLL N01 - GMRA PATRIOT N5243,154,17,-4.0,68,104,0.23,0.82,32,-4,11,9,19,0.64,-0.02,25,0.32,0.01,88,65,N01, N5243,9,3,12,1.5666373037859114,0.9586025865388217,1.3960818693712993,-0.49348733401182865,-0.6442998238070964,-0.822758315073488,-1.1239029738980328,0.0,1.1457492364131487,1.1985907217686365,-0.323091121180064,0.7324984267898448,1.4013397323056256,0.6187317622899541,1.1077641816715407,-1.3032408368862638,0.6482170746757084,0.5206114821277906,-1.0529461772445508,18.579292667815828
PM3,HHOLL N01 - HHOLL N17,153,15,-3.8,64,94,0.19,0.82,29,-5,12,8,19,0.71,-0.09,20,0.37,-0.01,90,63,N01, N17,8,4,12,1.5205597360275023,0.0,0.0,-0.8882772012212916,-1.2300269363590022,-1.4809649671322782,-0.5619514869490164,-0.7053800221226546,1.9477737019023527,1.1985907217686365,-0.7269550226551441,1.255711588782591,1.5570441470062508,0.30936588114497704,0.8862113453372324,-1.3032408368862638,0.9723256120135626,1.7353716070926355,1.0529461772445508,18.598256113784785
PM4,HHOLL N02 - BHR CENTERFIRE 57,146,17,-3.9,66,102,0.22,0.89,30,-8,12,9,17,0.68,-0.1,18,0.48,0.01,84,63,N02, 57,9,3,12,1.1980167617186381,0.9586025865388217,0.46536062312376636,-0.6908822676165601,-0.7614452463174777,-0.9873099780881853,-0.5619514869490164,0.0,1.6040489309784087,0.0,-0.8885005832451761,2.406780545166632,1.0899309029043756,0.30936588114497704,0.9969877635043864,-1.5371558588914906,1.9446512240271252,1.9089087678018992,-1.0529461772445508,19.607927438793002
PM5,HHOLL N02 - GMRA PATRIOT N5243,154,17,-3.9,67,104,0.23,0.79,32,-4,11,8,19,0.65,-0.02,24,0.32,0.01,89,66,N02, N5243,8,3,11,1.5666373037859114,0.9586025865388217,1.3960818693712993,-0.5921848008141943,-0.6442998238070964,-0.822758315073488,-1.1239029738980328,-0.7053800221226546,1.260324160054464,1.1985907217686365,-0.40386390147508006,0.7324984267898448,1.4791919396559383,0.7734147028624427,0.9969877635043864,-1.202991541741167,0.6482170746757084,0.5206114821277906,-1.0529461772445508,17.080374080539034
PM6,HHOLL N02 - HHOLL N17,153,15,-3.8,63,94,0.19,0.79,29,-5,12,8,19,0.72,-0.09,18,0.37,0.0,90,64,N02, N17,8,4,12,1.5205597360275023,0.0,0.0,-0.9869746680236573,-1.2300269363590022,-1.4809649671322782,-0.5619514869490164,-0.7053800221226546,2.0623486255436676,1.1985907217686365,-0.8885005832451761,1.255711588782591,1.5570441470062508,0.4640488217174656,0.8862113453372324,-1.202991541741167,0.9723256120135626,1.7353716070926355,-0.0,17.703922801907922
PM7,HHOLL N04 - BHR CENTERFIRE 57,141,14,-2.3,68,108,0.25,0.79,28,-5,11,8,17,0.56,-0.03,24,0.29,0.0,78,63,N04, 57,6,3,9,0.9676289229265923,-0.47930129326941084,-0.46536062312376636,-0.49348733401182865,-0.41000897878633413,-0.493654989044093,-1.1239029738980328,-0.7053800221226546,0.22914984728263,0.0,-0.40386390147508006,0.41857052959419677,0.6228176588025004,0.30936588114497704,-0.7754349271700787,-1.202991541741167,0.9723256120135626,0.6941486428370542,-0.0,6.872718019723443
PM8,HHOLL N04 - GMRA PATRIOT N5243,149,14,-2.3,70,111,0.26,0.69,30,-2,10,7,19,0.53,0.05,30,0.13,0.0,83,66,N04, N5243,6,2,8,1.3362494649938657,-0.47930129326941084,0.46536062312376636,-0.29609240040709717,-0.23429084502076233,-0.32910332602939524,-1.6858544608470494,-1.4107600442453092,-0.114574923641315,1.1985907217686365,0.080772780295016,-1.255711588782591,1.0120786955540633,0.7734147028624427,-0.7754349271700787,-0.8688272245908425,-0.0,-0.6941486428370542,-0.0,4.747908287836109
PM9,HHOLL N04 - HHOLL N17,148,12,-2.2,65,100,0.22,0.7,27,-3,11,7,19,0.6,-0.02,24,0.18,-0.01,84,64,N04, N17,5,3,8,1.2901718972354563,-1.4379038798082324,-0.9307212462475327,-0.7895797344189258,-0.8785906688278587,-0.9873099780881853,-1.1239029738980328,-1.4107600442453092,0.6874495418478888,1.1985907217686365,-0.40386390147508006,-0.7324984267898448,1.0899309029043756,0.4640488217174656,-0.8862113453372324,-0.9022436563058748,0.3241085373378542,0.5206114821277906,1.0529461772445508,4.2594054884611845
PM10,HHOLL N07 - BHR CENTERFIRE 57,135,17,-3.2,64,100,0.23,0.75,31,-6,11,8,17,0.6,-0.03,16,0.27,0.01,77,57,N07, 57,7,3,10,0.6911635163761374,0.9586025865388217,0.9307212462475327,-0.8882772012212916,-0.8785906688278587,-0.822758315073488,-1.1239029738980328,-0.7053800221226546,0.6874495418478888,0.0,-1.0500461438352082,0.20928526479709866,0.5449654514521878,-0.6187317622899541,0.22155283633430833,-1.069325814881037,1.2964341493514169,0.6941486428370542,-1.0529461772445508,9.387099384682356
PM11,HHOLL N07 - GMRA PATRIOT N5243,142,17,-3.2,65,102,0.23,0.65,32,-2,10,7,20,0.57,0.05,22,0.11,0.01,82,60,N07, N5243,6,2,8,1.0137064906850013,0.9586025865388217,1.3960818693712993,-0.7895797344189258,-0.7614452463174777,-0.822758315073488,-1.6858544608470494,-1.4107600442453092,0.3437247709239437,1.7978860826529546,-0.565409462065112,-1.4649968535796896,0.9342264882037505,-0.15468294057248852,0.22155283633430833,-0.7351614977307132,-0.0,-0.6941486428370542,-1.0529461772445508,5.782851533415833
PM12,HHOLL N07 - HHOLL N17,142,15,-3.0,61,92,0.2,0.65,29,-3,11,7,19,0.64,-0.02,16,0.16,0.0,83,58,N07, N17,6,4,10,1.0137064906850013,0.0,0.0,-1.1843696016283887,-1.3471723588693836,-1.3164133041175803,-1.1239029738980328,-1.4107600442453092,1.1457492364131487,1.1985907217686365,-1.0500461438352082,-0.9417836915869431,1.0120786955540633,-0.4640488217174656,-0.0,-0.7351614977307132,0.3241085373378542,0.5206114821277906,-0.0,6.906957706506356
PM13,HHOLL N08 - BHR CENTERFIRE 57,136,17,-3.3,66,103,0.23,0.73,31,-6,11,8,17,0.6,-0.03,17,0.29,0.01,77,58,N08, 57,7,3,10,0.7372410841345466,0.9586025865388217,0.9307212462475327,-0.6908822676165601,-0.7028725350622871,-0.822758315073488,-1.1239029738980328,-0.7053800221226546,0.6874495418478888,0.0,-0.9692733635401921,0.41857052959419677,0.5449654514521878,-0.4640488217174656,0.332329254501462,-1.0024929514509722,1.2964341493514169,0.6941486428370542,-1.0529461772445508,10.242083753387739
PM14,HHOLL N08 - GMRA PATRIOT N5243,143,17,-3.3,67,106,0.24,0.63,32,-2,10,8,19,0.57,0.05,23,0.13,0.01,82,61,N08, N5243,7,2,9,1.0597840584434104,0.9586025865388217,1.3960818693712993,-0.5921848008141943,-0.5271544012967153,-0.6582066520587905,-1.6858544608470494,-0.7053800221226546,0.3437247709239437,1.1985907217686365,-0.48463668177009606,-1.255711588782591,0.9342264882037505,0.0,0.332329254501462,-0.6683286343006482,-0.0,-0.6941486428370542,-1.0529461772445508,7.9377585820018455
PM15,HHOLL N08 - HHOLL N17,143,15,-3.2,63,95,0.2,0.63,30,-3,11,7,19,0.64,-0.02,18,0.17,0.0,83,59,N08, N17,6,4,10,1.0597840584434104,0.0,0.46536062312376636,-0.9869746680236573,-1.1714542251038116,-1.3164133041175803,-1.1239029738980328,-1.4107600442453092,1.1457492364131487,1.1985907217686365,-0.8885005832451761,-0.8371410591883938,1.0120786955540633,-0.30936588114497704,0.22155283633430833,-0.6683286343006482,0.3241085373378542,0.5206114821277906,-0.0,8.314209264399128
PM16,HHOLL N10 - BHR CENTERFIRE 57,142,18,-4.8,59,93,0.21,0.9,28,-7,12,10,17,0.69,-0.1,14,0.41,0.01,80,62,N10, 57,8,3,11,1.0137064906850013,1.4379038798082324,-0.46536062312376636,-1.3817645352331203,-1.2885996476141928,-1.151861641102883,-0.5619514869490164,0.7053800221226546,1.7186238546197223,0.0,-1.2115917044252402,1.6742821183767875,0.7785220735031254,0.15468294057248852,1.993975527008773,-1.5705722906065234,1.620542686689271,1.9089087678018992,-1.0529461772445508,17.376014286216435
PM17,HHOLL N10 - GMRA PATRIOT N5243,150,18,-4.7,61,96,0.22,0.8,29,-4,11,9,19,0.67,-0.02,20,0.25,0.01,85,65,N10, N5243,9,3,12,1.3823270327522748,1.4379038798082324,0.0,-1.1843696016283887,-1.112881513848621,-0.9873099780881853,-1.1239029738980328,0.0,1.4894740073370938,1.1985907217686365,-0.7269550226551441,0.0,1.167783110254688,0.6187317622899541,1.8831991088416191,-1.2364079734561992,0.6482170746757084,0.5206114821277906,-1.0529461772445508,16.789642436679497
PM18,HHOLL N10 - HHOLL N17,149,16,-4.6,56,85,0.18,0.8,26,-5,12,9,19,0.74,-0.09,14,0.3,0.0,86,63,N10, N17,8,4,12,1.3362494649938657,0.47930129326941084,-1.3960818693712993,-1.6778569356402175,-1.7571813376557175,-1.645516630146976,-0.5619514869490164,0.0,2.2914984728262975,1.1985907217686365,-1.2115917044252402,0.523213161992746,1.2456353176050008,0.30936588114497704,1.772422690674465,-1.2364079734561992,0.9723256120135626,1.7353716070926355,-0.0,16.334556069019605
PM19,HHOLL N101 - BHR CENTERFIRE 57,148,16,-3.8,66,103,0.23,0.74,31,-7,13,8,17,0.71,-0.03,16,0.3,0.02,83,65,N101, 57,9,3,12,1.2901718972354563,0.47930129326941084,0.9307212462475327,-0.6908822676165601,-0.7028725350622871,-0.822758315073488,0.0,-0.7053800221226546,1.9477737019023527,0.0,-1.0500461438352082,0.523213161992746,1.0120786955540633,0.6187317622899541,0.8862113453372324,-1.0359093831660047,1.620542686689271,0.6941486428370542,-2.1058923544891015,15.825681459963898
PM20,HHOLL N101 - GMRA PATRIOT N5243,156,16,-3.7,67,105,0.24,0.64,33,-3,12,8,19,0.69,0.05,22,0.14,0.02,88,67,N101, N5243,7,2,9,1.6587924393027296,0.47930129326941084,1.8614424924950654,-0.5921848008141943,-0.5857271125519058,-0.6582066520587905,-0.5619514869490164,-0.7053800221226546,1.7186238546197223,1.1985907217686365,-0.565409462065112,-1.1510689563840415,1.4013397323056256,0.9280976434349312,0.7754349271700787,-0.7017450660156807,0.3241085373378542,-0.6941486428370542,-2.1058923544891015,11.852623688734257
PM21,HHOLL N101 - HHOLL N17,155,14,-3.5,63,95,0.2,0.64,30,-4,13,7,19,0.75,-0.02,17,0.19,0.0,89,66,N101, N17,7,4,11,1.6127148715443205,-0.47930129326941084,0.46536062312376636,-0.9869746680236573,-1.1714542251038116,-1.3164133041175803,0.0,-1.4107600442453092,2.4060733964676126,1.1985907217686365,-0.9692733635401921,-0.6278557943912955,1.4791919396559383,0.7734147028624427,0.5538820908357703,-0.7017450660156807,0.6482170746757084,0.5206114821277906,-0.0,13.83384294428408
PM22,HHOLL N103 - BHR CENTERFIRE 57,121,19,-4.6,61,95,0.21,0.78,27,-8,12,9,15,0.6,-0.08,9,0.29,0.01,72,49,N103, 57,6,3,9,0.04607756775840916,1.9172051730776434,-0.9307212462475327,-1.1843696016283887,-1.1714542251038116,-1.151861641102883,-0.5619514869490164,0.0,0.6874495418478888,-1.1985907217686365,-1.6154556059003202,0.41857052959419677,0.1557044147006251,-1.8561952868698623,1.772422690674465,-1.1695751100261342,1.9446512240271252,1.561834446383372,-1.0529461772445508,7.7473089851275105
PM23,HHOLL N103 - GMRA PATRIOT N5243,129,19,-4.5,63,97,0.22,0.69,28,-4,11,9,18,0.57,0.0,14,0.13,0.01,76,52,N103, N5243,6,3,9,0.4146981098256824,1.9172051730776434,-0.46536062312376636,-0.9869746680236573,-1.0543088025934306,-0.9873099780881853,-1.1239029738980328,0.0,0.3437247709239437,0.5992953608843182,-1.2115917044252402,-1.255711588782591,0.46711324410187527,-1.3921464651523967,1.6616462725073111,-0.8688272245908425,0.6482170746757084,0.17353716070926356,-1.0529461772445508,6.805601282630418
PM24,HHOLL N103 - HHOLL N17,128,17,-4.3,58,87,0.18,0.69,26,-5,12,8,17,0.64,-0.07,9,0.18,-0.01,78,50,N103, N17,5,4,9,0.3686205420672733,0.9586025865388217,-1.3960818693712993,-1.480462002035486,-1.6400359151453365,-1.645516630146976,-0.5619514869490164,-0.7053800221226546,1.1457492364131487,0.0,-1.6154556059003202,-0.7324984267898448,0.6228176588025004,-1.7015123462973736,1.4400934361730027,-0.8688272245908425,0.9723256120135626,1.3882972856741085,1.0529461772445508,6.641281257437641
PM25,HHOLL N11 - BHR CENTERFIRE 57,139,18,-3.9,68,108,0.25,0.84,29,-4,11,9,16,0.58,-0.03,25,0.32,0.0,73,66,N11, 57,8,4,12,0.8754737874097739,1.4379038798082324,0.0,-0.49348733401182865,-0.41000897878633413,-0.493654989044093,-1.1239029738980328,0.0,0.45829969456525876,-0.5992953608843182,-0.323091121180064,0.7324984267898448,0.23355662205093763,0.7734147028624427,0.9969877635043864,-1.3700737003163288,0.6482170746757084,0.6941486428370542,-0.0,15.207686232685838
