RAAA#,Sex,AnimalID,Name,DOB,BrdCds,PROS,CED, BW, WW, YW, ADG, DMI, Milk, ME, HPG, CEM, STAY, Marb, YG, CW, REA, FAT, HB, GM
PM1,,L10 - 8177F,HHOLLL10 - LSF SRR PRESIDENT 8177F,,,159,14,-2.7,56,80,0.15,0.34,26,-10,11,8,23,0.55,-0.05,12,0.13,-0.01,115,44
PM2,,C16 - 8177F,C16 - LSF SRR PRESIDENT 8177F,,,156,14,-3,62,88,0.16,0.47,27,-8,11,8,23,0.52,-0.05,13,0.12,-0.01,116,39
PM3,,C19 - 8177F,C19 - LSF SRR PRESIDENT 8177F,,,148,14,-2.9,65,92,0.17,0.62,31,-7,11,8,22,0.52,-0.05,15,0.14,-0.01,108,39
PM4,,C66 - 8177F,C66 - LSF SRR PRESIDENT 8177F,,,139,15,-3.6,62,88,0.17,0.54,27,-8,11,8,21,0.53,-0.05,12,0.11,-0.01,100,39
PM5,,C14 - 8177F,C14 - LSF SRR PRESIDENT 8177F,,,150,14,-3,61,88,0.17,0.38,24,-8,10,8,22,0.53,-0.05,13,0.14,-0.01,106,44
PM6,,C28 - 8177F,C28 - LSF SRR PRESIDENT 8177F,,,154,16,-3.6,60,87,0.16,0.53,30,-6,10,9,22,0.53,-0.06,16,0.19,-0.01,109,45
PM7,,C47 - 8177F,C47 - LSF SRR PRESIDENT 8177F,,,156,13,-2.3,62,90,0.18,0.62,31,-4,11,8,23,0.54,-0.05,15,0.18,-0.01,111,44
PM8,,C17 - 8177F,C17 - LSF SRR PRESIDENT 8177F,,,155,14,-3,65,94,0.18,0.58,27,-8,11,9,22,0.55,-0.05,16,0.18,-0.01,110,45
PM9,,D29 - 8177F,D29 - LSF SRR PRESIDENT 8177F,,,148,15,-3.3,59,85,0.17,0.5,26,-7,11,8,21,0.56,-0.05,12,0.17,0,103,45
PM10,,D19 - 8177F,D19 - LSF SRR PRESIDENT 8177F,,,149,16,-3.7,59,85,0.17,0.51,28,-7,11,9,21,0.57,-0.05,12,0.19,0,103,46
PM11,,D10 - 8177F,D10 - LSF SRR PRESIDENT 8177F,,,160,16,-3.8,57,82,0.16,0.36,24,-9,11,9,23,0.56,-0.05,10,0.15,0,116,44
PM12,,D23 - 8177F,D23 - LSF SRR PRESIDENT 8177F,,,154,15,-3.3,58,84,0.16,0.5,29,-7,11,8,22,0.57,-0.04,13,0.19,0,108,47
PM13,,E29 - 8177F,E29 - LSF SRR PRESIDENT 8177F,,,161,13,-2.2,62,89,0.17,0.55,30,-8,11,9,23,0.53,-0.06,15,0.17,-0.01,118,43
PM14,,E30 - 8177F,E30 - LSF SRR PRESIDENT 8177F,,,158,14,-2.7,61,87,0.16,0.49,29,-8,10,9,23,0.52,-0.05,16,0.17,-0.01,114,45
PM15,,E59 - 8177F,E59 - LSF SRR PRESIDENT 8177F,,,156,11,-1.6,66,95,0.18,0.56,31,-8,11,7,22,0.52,-0.05,19,0.22,-0.01,110,47
PM16,,F06 - 8177F,F06 - LSF SRR PRESIDENT 8177F,,,157,13,-2.4,65,94,0.18,0.62,30,-5,10,8,23,0.54,-0.05,16,0.19,-0.01,113,44
PM17,,F08 - 8177F,F08 - LSF SRR PRESIDENT 8177F,,,170,12,-2,70,106,0.22,0.81,27,-6,12,7,22,0.63,-0.05,19,0.27,0,113,57
PM18,,F19 - 8177F,F19 - LSF SRR PRESIDENT 8177F,,,144,18,-4.4,54,78,0.15,0.37,28,-9,12,10,19,0.57,-0.05,13,0.19,0,95,49
PM19,,F21 - 8177F,F21 - LSF SRR PRESIDENT 8177F,,,153,13,-2.8,65,95,0.19,0.59,26,-8,11,8,21,0.58,-0.05,15,0.18,-0.01,104,49
PM20,,F79 - 8177F,F79 - LSF SRR PRESIDENT 8177F,,,167,15,-3.6,64,98,0.21,0.69,25,-5,12,9,22,0.63,-0.05,16,0.22,0,110,57
