RAAA#,Sex,AnimalID,Name,DOB,BrdCds,PROS,CED, BW, WW, YW, ADG, DMI, Milk, ME, HPG, CEM, STAY, Marb, YG, CW, REA, FAT, HB, GM
PM1,,N01 - 8177F,HHOLL N01 - LSF SRR PRESIDENT 8177F,,,170,16,-4.4,69,101,0.2,0.94,30,-6,12,9,20,0.79,-0.08,23,0.4,0,103,67
PM2,,N02 - 8177F,HHOLL N02 - LSF SRR PRESIDENT 8177F,,,171,15,-4.3,69,101,0.2,0.91,30,-6,12,9,20,0.81,-0.08,21,0.39,0,104,67
PM3,,N04 - 8177F,HHOLL N04 - LSF SRR PRESIDENT 8177F,,,165,12,-2.7,71,107,0.23,0.81,28,-4,12,8,20,0.69,-0.01,27,0.21,-0.01,98,67
PM4,,N07 - 8177F,HHOLL N07 - LSF SRR PRESIDENT 8177F,,,159,15,-3.6,66,99,0.21,0.77,30,-4,11,8,20,0.73,-0.02,19,0.19,0,97,62
PM5,,N08 - 8177F,HHOLL N08 - LSF SRR PRESIDENT 8177F,,,160,15,-3.7,69,102,0.21,0.75,31,-4,11,8,20,0.73,-0.02,20,0.2,0,97,63
PM6,,N10 - 8177F,HHOLL N10 - LSF SRR PRESIDENT 8177F,,,166,17,-5.1,62,92,0.19,0.92,27,-6,12,10,20,0.82,-0.08,17,0.33,0,100,66
PM7,,N101 - 8177F,HHOLL N101 - LSF SRR PRESIDENT 8177F,,,172,14,-4.1,68,102,0.21,0.76,31,-5,13,8,20,0.84,-0.01,19,0.22,0.01,103,69
PM8,,N103 - 8177F,HHOLL N103 - LSF SRR PRESIDENT 8177F,,,145,17,-4.9,64,94,0.19,0.8,27,-6,12,9,18,0.73,-0.07,12,0.21,-0.01,91,54
PM9,,N11 - 8177F,HHOLL N11 - LSF SRR PRESIDENT 8177F,,,163,16,-4.2,71,107,0.23,0.86,29,-3,12,9,19,0.71,-0.02,28,0.24,-0.01,93,70
PM10,,N16 - 8177F,HHOLL N16 - LSF SRR PRESIDENT 8177F,,,183,12,-3.1,72,110,0.24,0.84,29,-5,14,8,21,0.82,-0.01,22,0.25,0.01,111,72
PM11,,N18 - 8177F,HHOLL N18 - LSF SRR PRESIDENT 8177F,,,178,18,-5.6,61,91,0.19,0.63,28,-6,14,10,21,0.8,0,17,0.19,0.01,111,67
PM12,,N201 - 8177F,HHOLL N201 - LSF SRR PRESIDENT 8177F,,,165,15,-3.5,66,101,0.22,0.85,25,-5,13,9,21,0.65,-0.05,17,0.26,0,109,56
PM13,,N202 - 8177F,HHOLL N202 - LSF SRR PRESIDENT 8177F,,,158,14,-3.3,68,100,0.2,0.72,29,-7,12,8,18,0.76,-0.11,18,0.33,-0.02,93,65
PM14,,N23 - 8177F,HHOLL N23 - LSF SRR PRESIDENT 8177F,,,151,16,-4.2,64,93,0.19,0.72,31,-7,12,9,18,0.74,-0.04,16,0.2,0,91,60
PM15,,N25 - 8177F,HHOLL N25 - LSF SRR PRESIDENT 8177F,,,143,16,-4.7,64,93,0.18,0.78,31,-5,12,9,19,0.7,-0.05,12,0.2,0,92,51
PM16,,N28 - 8177F,HHOLL N28 - LSF SRR PRESIDENT 8177F,,,178,17,-5.2,65,98,0.2,0.69,29,-6,13,10,21,0.79,-0.01,19,0.22,0.01,111,67
PM17,,N34 - 8177F,HHOLL N34 - LSF SRR PRESIDENT 8177F,,,161,13,-3.2,62,98,0.22,0.95,23,-4,14,8,20,0.69,-0.04,15,0.22,0,101,59
PM18,,N37 - 8177F,HHOLL N37 - LSF SRR PRESIDENT 8177F,,,164,14,-3.2,65,99,0.21,0.79,25,-5,13,8,22,0.63,-0.05,16,0.21,0,111,53
