Weight,Tag
1525,C12
1165,C14
1370,C16
1215,C17
1280,C19
1268,C28
1155,C47
1250,C66
1190,D10
1550,D19
1165,D23
1340,D29
1330,E29
1230,E30
1355,E59
1310,F06
1500,F08
1105,F19
1175,F21
1160,F79
1015,F81
1185,F83
1115,G10
1135,G11
1375,G22
1350,G25
1150,G29
1235,G34
1200,G35
1005,G60
1230,G65
1205,G7
1235,G9
1050,H11
1215,H15
1150,H26
1260,H31
1130,H42
1050,H44
1245,H50
1350,H59
938,H61
1300,H62
1010,H70
2113,H86
1065,J10
1260,J11
1035,J27
1045,J3
1395,J33
1085,J4
1060,J40
1268,J41
1250,J45
1165,J46
1250,J5
1190,J51
1140,J61
1265,J65
1440,J76
1080,J80
1095,K11
1280,K21
1180,K25
1000,K30
1070,K32
1275,K34
1485,K38
1060,K40
1100,K43
1130,K5
1315,K51
1105,K52
1080,K56
1160,K59
1340,K60
948,K65
1130,K67
1055,K68
1310,K69
1205,K7
1195,K72
1070,K82
1145,K86
1300,K87
630,L?
890,L06
1130,L09
1040,L12
1060,L20
938,L22
1130,L28
1170,L29
1082,L31
1065,L32
998,L33
1060,L44
1080,L49
1035,L56
990,L58
1060,L60
1050,L63
1280,L64
1188,L66
992,L70
980,L73
1045,L78
898,L88
1032,L94
1040,M01
1160,M02
1025,M12
703,M13
944,M13
1160,M17
942,M35
1100,M37
1005,M38
1075,M42
972,M45
1095,M50
1035,M57
1060,M57
1115,M59
1050,M60
1155,M62
1005,M64
1085,M65
848,M78
1100,M83
1400,H63
980,K75
